Title,Document ID,Page Count,Uploader,URL,download_formats,reads,available_on_api
Cloth Paper Scissors July_August 2012TOC,98206411,1,Interweave-Web,http://www.scribd.com/doc/98206411,pdf,txt,253
Cloth Paper Scissors Book BLAD,50289729,8,Interweave-Web,http://www.scribd.com/doc/50289729,pdf,txt,307
Cloth Paper Scissors November-December 2008TOC,73150115,1,Interweave-Web,http://www.scribd.com/doc/73150115,pdf,txt,256
Cloth Paper Scissors March-April 2008,102182366,1,Interweave-Web,http://www.scribd.com/doc/102182366,pdf,txt,144
Cloth Paper Scissors January-February 2007,102178501,1,Interweave-Web,http://www.scribd.com/doc/102178501,pdf,txt,19
Cloth Paper Scissors July-August 2007,102181936,1,Interweave-Web,http://www.scribd.com/doc/102181936,pdf,txt,98
Cloth Paper Scissors September-October 2008,102178482,1,Interweave-Web,http://www.scribd.com/doc/102178482,pdf,txt,29
Cloth Paper Scissors Fall 2006,102178508,1,Interweave-Web,http://www.scribd.com/doc/102178508,pdf,txt,84
Cloth Paper Scissors Spring 2006.pdf,102179916,1,Interweave-Web,http://www.scribd.com/doc/102179916,pdf,txt,175
Cloth Paper Scissors May-June 2008.pdf,102178490,1,Interweave-Web,http://www.scribd.com/doc/102178490,pdf,txt,41
